Origin,Origin Name,Origin City,Origin State,Origin Country,Destination,Destination Name,Destination City,Destination State,Destination Country,Direct Flights,Total Seats
countryName:France,,Brest,,,BCN,Barcelona,Barcelona,,Spain,218,43360
countryName:France,,"Ajaccio, Corsica",,,AMS,Schiphol,Amsterdam,,Netherlands,251,38510
countryName:France,,Biarritz,,,MAD,Adolfo Suarez-Barajas,Madrid,,Spain,252,36600
countryName:France,,Paris-De Gaulle,,,LHR,Heathrow,London-Heathrow,EN,United Kingdom,187,31629
countryName:France,,Paris-De Gaulle,,,FCO,Fiumicino,Rome-Da Vinci,,Italy,162,31432
countryName:France,,Bordeaux,,,LIS,Lisboa,Lisbon,,Portugal,159,27088
countryName:France,,Bordeaux,,,ALG,Houari Boumediene,Algiers,,Algeria,163,25491
countryName:France,,Bordeaux,,,MUC,Franz Josef Strauss International,Munich,,Germany,178,24310
countryName:France,,"Bastia, Corsica",,,LGW,Gatwick,London-Gatwick,EN,United Kingdom,145,24131
countryName:France,,Paris-De Gaulle,,,DXB,Dubai International,Dubai,,United Arab Emirates,45,21032
countryName:France,,"Ajaccio, Corsica",,,STN,Stansted,London-Stansted,EN,United Kingdom,111,20733
countryName:France,,Paris-De Gaulle,,,JFK,John F Kennedy Intl,New York-JFK,NY,United States,49,19250
countryName:France,,Bordeaux,,,OPO,Porto,Porto,,Portugal,90,17280
countryName:France,,Biarritz,,,DUB,Dublin International,Dublin,,Ireland,103,16521
countryName:France,,Bordeaux,,,VCE,Marco Polo,Venice,,Italy,107,16360
countryName:France,,Paris-De Gaulle,,,IST,Ataturk,Istanbul,,Turkey,71,15954
countryName:France,,"Bastia, Corsica",,,TXL,Tegel,Berlin-Tegel,,Germany,68,15132
countryName:France,,Bordeaux,,,CMN,Mohammed V,Casablanca,,Morocco,108,14823
countryName:France,,"Bastia, Corsica",,,VIE,Vienna International,Vienna,,Austria,94,14768
countryName:France,,Paris-De Gaulle,,,SVO,Sheremetyevo,Moscow-Sheremetyevo,CF,Russian Federation,90,13955
countryName:France,,Bordeaux,,,TLV,Ben Gurion Intl,Tel Aviv-Yafo,,Israel,66,13141
countryName:France,,"Bastia, Corsica",,,DUS,Duesseldorf International,Duesseldorf,,Germany,94,12429
countryName:France,,Brest,,,AGP,Malaga Airport,Malaga,,Spain,71,12337
countryName:France,,Paris-De Gaulle,,,CPH,Kastrup,Copenhagen,,Denmark,68,11993
countryName:France,,Paris-De Gaulle,,,YUL,Pierre E. Trudeau Intl,Montreal-PET,QC,Canada,25,11621
countryName:France,,Bordeaux,,,RAK,Menara,Marrakech,,Morocco,65,11446
countryName:France,,Bordeaux,,,LTN,Luton International,London-Luton,EN,United Kingdom,68,11265
countryName:France,,Paris-De Gaulle,,,PVG,Pudong International,Shanghai,,China,34,10912
countryName:France,,Bordeaux,,,PRG,Ruzyne,Prague,,Czech Republic,64,10616
countryName:France,,Bordeaux,,,ATH,Eleftherios Venizelos Airport,Athens,,Greece,58,10214
countryName:France,,Beziers,,,MAN,Manchester Airport,Manchester,EN,United Kingdom,82,10210
countryName:France,,Bordeaux,,,WAW,Okecie,Warsaw,,Poland,64,10190
countryName:France,,Paris-De Gaulle,,,ATL,Hartsfield-Jackson ATL,Atlanta,GA,United States,25,9976
