Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
countryName:Peru,,Lima,,,SCL,"Arturo M Benitez",Santiago,,Chile,124,23216
countryName:Peru,,Cusco,,,BOG,"El Dorado Intl",Bogota,,Colombia,74,13985
countryName:Peru,,Lima,,,EZE,"Ministro Pistarini","Buenos Aires",BA,Argentina,49,11248
countryName:Peru,,Chiclayo,,,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,57,9558
countryName:Peru,,Lima,,,MIA,"Miami International",Miami,FL,"United States",33,9136
countryName:Peru,,Lima,,,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,21,8064
countryName:Peru,,Lima,,,MEX,"Benito Juarez Intl","Mexico City",,Mexico,41,7974
countryName:Peru,,Lima,,,GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,21,5932
countryName:Peru,,Lima,,,PUJ,"Punta Cana International","Punta Cana",,"Dominican Republic",25,5166
countryName:Peru,,Lima,,,CUN,"Cancun International",Cancun,,Mexico,20,4449
countryName:Peru,,Lima,,,UIO,"Mariscal Sucre Intl",Quito,,Ecuador,29,4352
countryName:Peru,,Cusco,,,LPB,"El Alto International","La Paz",,Bolivia,27,3467
countryName:Peru,,Lima,,,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",13,3354
countryName:Peru,,Lima,,,SAL,"El Salvador Intl","San Salvador",,"El Salvador",9,3186
countryName:Peru,,Lima,,,AMS,Schiphol,Amsterdam,,Netherlands,1,2976
countryName:Peru,,Lima,,,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",3,2870
countryName:Peru,,Lima,,,GYE,"Jose Joaquin de Olmedo",Guayaquil,,Ecuador,9,2543
countryName:Peru,,Lima,,,MVD,Carrasco,Montevideo,,Uruguay,15,2367
countryName:Peru,,Lima,,,HAV,"Jose Marti Intl",Havana,,Cuba,12,2328
countryName:Peru,,Lima,,,GIG,"Galeao-A.C.Jobim Intl","Rio De Janeiro",RJ,Brazil,5,2128
countryName:Peru,,Lima,,,VVI,"Viru Viru Intl","Santa Cruz-Viru Viru",,Bolivia,9,2085
countryName:Peru,,Lima,,,SJO,"Juan Santamaria Intl","San Jose",,"Costa Rica",7,2061
countryName:Peru,,Lima,,,ASU,"Silvio Pettirossi Intl",Asuncion,,Paraguay,6,2055
countryName:Peru,,Lima,,,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",1,1968
countryName:Peru,,Lima,,,IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",1,1592
countryName:Peru,,Lima,,,JAE,"Technology Park Heliport",Atlanta,GA,"United States",4,1584
countryName:Peru,,Lima,,,DFW,"Dallas/Ft Worth Intl","Dallas/Fort Worth",TX,"United States",1,1464
countryName:Peru,,Lima,,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,1,1444
countryName:Peru,,Lima,,,MDE,"Jose Marie Cordova",Medellin,,Colombia,9,1398
countryName:Peru,,Lima,,,ROS,"Islas Malvinas",Rosario,SF,Argentina,1,1368
countryName:Peru,,Lima,,,MCO,"Orlando Intl",Orlando,FL,"United States",1,1368
countryName:Peru,,Lima,,,CTG,"Rafael Nunez International",Cartagena,,Colombia,2,1341
countryName:Peru,,Lima,,,COR,"Pajas Blancas",Cordoba,CD,Argentina,1,1328
countryName:Peru,,Lima,,,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",1,1200
countryName:Peru,,Lima,,,PAP,"Toussaint Louverture","Port Au Prince",,Haiti,3,1080
countryName:Peru,,Lima,,,POA,"Salgado Filho Intl","Porto Alegre",RS,Brazil,1,960
countryName:Peru,,Lima,,,IAD,"Dulles International",Washington-Dulles,VA,"United States",1,936
countryName:Peru,,Lima,,,EWR,"Newark Intl",Newark,NJ,"United States",1,915
countryName:Peru,,Lima,,,IGU,"Cataratas International","Foz do Iguacu",PR,Brazil,5,828
countryName:Peru,,Lima,,,CLO,"Alfonso B Aragon International",Cali,,Colombia,1,768
countryName:Peru,,Lima,,,YYZ,"Lester B. Pearson Intl",Toronto,ON,Canada,1,741
countryName:Peru,,Lima,,,SLA,"Martin M. de Guemes",Salta,SA,Argentina,1,720
countryName:Peru,,Lima,,,BCN,Barcelona,Barcelona,,Spain,1,702
countryName:Peru,,Lima,,,MDZ,"El Plumerillo",Mendoza,MD,Argentina,4,657
countryName:Peru,,Lima,,,BLA,"J.A. Anzoategui Intl",Barcelona,,Venezuela,1,612
countryName:Peru,,Lima,,,TUC,"Benjamin Matienzo",Tucuman,TU,Argentina,1,576
countryName:Peru,,Lima,,,ANF,"Cerro Moreno",Antofagasta,,Chile,1,432
countryName:Peru,,Lima,,,CCS,"Simon Bolivar International",Caracas,,Venezuela,2,283
