Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
"stateName:New York",,Albany,NY,,ORD,"O'Hare International",Chicago-O'Hare,IL,"United States",712,74356
"stateName:New York",,Albany,NY,,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",439,63205
"stateName:New York",,Albany,NY,,MCO,"Orlando Intl",Orlando,FL,"United States",352,52892
"stateName:New York",,Buffalo,NY,,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",285,49256
"stateName:New York",,Albany,NY,,CLT,"Charlotte-Douglas International Airport",Charlotte-Douglas,NC,"United States",357,44213
"stateName:New York",,Albany,NY,,BOS,"Logan International",Boston,MA,"United States",519,43659
"stateName:New York",,"New York-JFK",NY,,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",144,40242
"stateName:New York",,"Long Island-Macarthur",NY,,MIA,"Miami International",Miami,FL,"United States",209,36481
"stateName:New York",,Albany,NY,,DTW,"Metropolitan Wayne County",Detroit,MI,"United States",372,32703
"stateName:New York",,Albany,NY,,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",221,32624
"stateName:New York",,"New York-JFK",NY,,SFO,"San Francisco Intl","San Francisco",CA,"United States",170,29132
"stateName:New York",,Albany,NY,,DCA,"Ronald Reagan National",Washington-National,DC,"United States",371,27186
"stateName:New York",,"New York-JFK",NY,,YYZ,"Lester B. Pearson Intl",Toronto,ON,Canada,276,25396
"stateName:New York",,Albany,NY,,DEN,"Denver International",Denver,CO,"United States",153,23901
"stateName:New York",,Albany,NY,,BWI,"Baltimore/Wash Intl",Baltimore,MD,"United States",184,23469
"stateName:New York",,Albany,NY,,TPA,"Tampa International",Tampa,FL,"United States",158,21979
"stateName:New York",,"New York-JFK",NY,,DFW,"Dallas/Ft Worth Intl","Dallas/Fort Worth",TX,"United States",164,20037
"stateName:New York",,"New York-JFK",NY,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,49,19250
"stateName:New York",,Albany,NY,,MSP,International,"Minneapolis/St. Paul",MN,"United States",136,18998
"stateName:New York",,Albany,NY,,PHL,"Philadelphia Intl",Philadelphia,PA,"United States",336,18140
"stateName:New York",,Buffalo,NY,,LAS,"Mccarran Intl","Las Vegas",NV,"United States",110,18137
"stateName:New York",,"Westchester County",NY,,PBI,"Palm Beach Intl","West Palm Beach",FL,"United States",121,18130
"stateName:New York",,"New York-JFK",NY,,RDU,Raleigh-Durham,Raleigh/Durham,NC,"United States",213,15577
"stateName:New York",,"New York-JFK",NY,,MEX,"Benito Juarez Intl","Mexico City",,Mexico,77,14328
"stateName:New York",,"New York-JFK",NY,,SEA,"Seattle-Tacoma Intl",Seattle,WA,"United States",83,14075
"stateName:New York",,Albany,NY,,MDW,"Chicago Midway International",Chicago,IL,"United States",95,13140
"stateName:New York",,"New York-JFK",NY,,SDQ,"Las Americas International","Santo Domingo",,"Dominican Republic",73,12864
"stateName:New York",,"New York-JFK",NY,,STI,"Cibao Intl",Santiago,,"Dominican Republic",73,12864
"stateName:New York",,"New York-JFK",NY,,DXB,"Dubai International",Dubai,,"United Arab Emirates",17,12408
"stateName:New York",,Buffalo,NY,,PHX,"Sky Harbor Intl",Phoenix,AZ,"United States",71,11878
"stateName:New York",,"New York-JFK",NY,,SAN,"San Diego International Airport","San Diego",CA,"United States",69,11822
"stateName:New York",,"New York-JFK",NY,,BNA,"Nashville Metro",Nashville,TN,"United States",137,11542
"stateName:New York",,"New York-JFK",NY,,YUL,"Pierre E. Trudeau Intl",Montreal-PET,QC,Canada,160,11486
"stateName:New York",,Albany,NY,,IAD,"Dulles International",Washington-Dulles,VA,"United States",172,11230
"stateName:New York",,"New York-La Guardia",NY,,IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",95,11032
"stateName:New York",,"New York-JFK",NY,,GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,29,10892
"stateName:New York",,"New York-JFK",NY,,ICN,"Incheon International Airport",Seoul,,"South Korea",17,10160
"stateName:New York",,"New York-JFK",NY,,FRA,"Frankfurt International Airport",Frankfurt,,Germany,23,9916
"stateName:New York",,"New York-JFK",NY,,MXP,Malpensa,Milan-Malpensa,,Italy,25,9644
"stateName:New York",,"New York-JFK",NY,,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,30,9641
"stateName:New York",,"New York-JFK",NY,,CUN,"Cancun International",Cancun,,Mexico,53,9576
"stateName:New York",,Albany,NY,,PIT,"Pittsburgh Internation",Pittsburgh,PA,"United States",162,9473
"stateName:New York",,"New York-La Guardia",NY,,STL,"Lambert International","St. Louis",MO,"United States",102,9191
"stateName:New York",,"New York-JFK",NY,,SJU,"Luis Munoz Marin Int","San Juan",PR,"United States",50,9168
"stateName:New York",,"New York-JFK",NY,,AMS,Schiphol,Amsterdam,,Netherlands,31,9132
"stateName:New York",,"New York-JFK",NY,,CLE,"Hopkins Intl",Cleveland,OH,"United States",138,9041
"stateName:New York",,"New York-JFK",NY,,SVO,Sheremetyevo,Moscow-Sheremetyevo,CF,"Russian Federation",17,8016
"stateName:New York",,"New York-JFK",NY,,AUH,"Abu Dhabi Intl","Abu Dhabi",,"United Arab Emirates",10,7826
"stateName:New York",,"New York-JFK",NY,,HKG,"Hong Kong Intl","Hong Kong",,"Hong Kong",17,7776
"stateName:New York",,"Long Island-Macarthur",NY,,MSY,"New Orleans Intl","New Orleans",LA,"United States",64,7641
"stateName:New York",,"New York-JFK",NY,,CMH,"Port Columbus Intl",Columbus,OH,"United States",109,7479
"stateName:New York",,"New York-JFK",NY,,FCO,Fiumicino,"Rome-Da Vinci",,Italy,25,7386
"stateName:New York",,"New York-La Guardia",NY,,DAL,"Love Field",Dallas-Love,TX,"United States",61,7101
"stateName:New York",,"New York-JFK",NY,,JAX,"Jacksonville Intl",Jacksonville,FL,"United States",64,7096
"stateName:New York",,"Westchester County",NY,,RSW,"Southwest Florida","Fort Myers",FL,"United States",45,6849
"stateName:New York",,"New York-JFK",NY,,AUS,"Austin-Bergstrom International Airport",Austin,TX,"United States",40,6817
"stateName:New York",,"New York-JFK",NY,,CVG,"Cincinnati Northern Kentucky Airport","Cincinnati, OH/Covington",KY,"United States",81,6733
"stateName:New York",,"New York-JFK",NY,,CHS,"Charleston International/AFB",Charleston,SC,"United States",57,6708
"stateName:New York",,"New York-JFK",NY,,DUB,"Dublin International",Dublin,,Ireland,17,6624
"stateName:New York",,"New York-JFK",NY,,SLC,"Salt Lake City Intl","Salt Lake City",UT,"United States",33,6586
"stateName:New York",,"New York-JFK",NY,,IND,"Indianapolis Intl",Indianapolis,IN,"United States",83,6505
"stateName:New York",,"New York-JFK",NY,,PWM,"Portland Intl Jetprt",Portland,ME,"United States",77,6401
"stateName:New York",,"New York-JFK",NY,,TLV,"Ben Gurion Intl","Tel Aviv-Yafo",,Israel,16,6010
"stateName:New York",,"New York-JFK",NY,,BDA,"L.F. Wade International",Bermuda,,Bermuda,33,5991
