Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
countryName:Singapore,,Singapore,,,CGK,"Soekarno-Hatta Intl",Jakarta,,Indonesia,298,62399
countryName:Singapore,,Singapore,,,KUL,"Kuala Lumpur International Airport","Kuala Lumpur",,Malaysia,318,57582
countryName:Singapore,,Singapore,,,HKG,"Hong Kong Intl","Hong Kong",,"Hong Kong",156,43855
countryName:Singapore,,Singapore,,,BKK,"Suvarnabhumi - New Bangkok International Airport",Bangkok,,Thailand,155,40213
countryName:Singapore,,Singapore,,,MNL,"Ninoy Aquino Intl",Manila,,Philippines,131,35848
countryName:Singapore,,Singapore,,,DPS,"Ngurah Rai",Denpasar-Bali,,Indonesia,133,28962
countryName:Singapore,,Singapore,,,TPE,"Taiwan Taoyuan International Airport",Taipei,,Taiwan,81,23489
countryName:Singapore,,Singapore,,,SYD,"Kingsford Smith",Sydney,NS,Australia,62,23280
countryName:Singapore,,Singapore,,,SGN,"Tan Son Nhat International Airport","Ho Chi Minh City",,Vietnam,108,23183
countryName:Singapore,,Singapore,,,MEL,"Melbourne Airport",Melbourne,VI,Australia,60,22782
countryName:Singapore,,Singapore,,,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",49,21032
countryName:Singapore,,Singapore,,,PVG,"Pudong International",Shanghai,,China,65,19304
countryName:Singapore,,Singapore,,,PEN,"Penang International",Penang,,Malaysia,104,19001
countryName:Singapore,,Singapore,,,ICN,"Incheon International Airport",Seoul,,"South Korea",56,18253
countryName:Singapore,,Singapore,,,DXB,"Dubai International",Dubai,,"United Arab Emirates",33,16280
countryName:Singapore,,Singapore,,,HND,"Tokyo Intl (Haneda)",Tokyo-Haneda,,Japan,49,15912
countryName:Singapore,,Singapore,,,HKT,"Phuket Intl",Phuket,,Thailand,88,14927
countryName:Singapore,,Singapore,,,DMK,"Don Muang International Airport - formerly BKK",Bangkok,,Thailand,60,14215
countryName:Singapore,,Singapore,,,PER,"Perth International",Perth,WA,Australia,52,13697
countryName:Singapore,,Singapore,,,BNE,"Brisbane Intl",Brisbane,QL,Australia,41,13564
countryName:Singapore,,Singapore,,,NRT,Narita,Tokyo-Narita,,Japan,41,13064
countryName:Singapore,,Singapore,,,PEK,"Capital International",Beijing,,China,33,12680
countryName:Singapore,,Singapore,,,CAN,"Baiyun International",Guangzhou,,China,57,12560
countryName:Singapore,,Singapore,,,BOM,"Mumbai (Chhatrapati Shivaji) International",Mumbai/Bombay,,India,36,12517
countryName:Singapore,,Singapore,,,DEL,"Indira Gandhi Intl",Delhi,,India,41,11968
countryName:Singapore,,Singapore,,,MAA,"Chennai International Airport",Chennai,,India,44,11106
countryName:Singapore,,Singapore,,,SUB,Juanda,Surabaya,,Indonesia,43,10164
countryName:Singapore,,Singapore,,,CMB,"Bandaranaike Intl",Colombo,,"Sri Lanka",36,9848
countryName:Singapore,,Singapore,,,FRA,"Frankfurt International Airport",Frankfurt,,Germany,17,9720
countryName:Singapore,,Singapore,,,HAN,"Noi Bai International",Hanoi,,Vietnam,39,9258
countryName:Singapore,,Singapore,,,RGN,"Yangon International",Yangon,,Myanmar,40,8559
countryName:Singapore,,Singapore,,,DAC,"Hazrat Shahjalal International",Dhaka,,Bangladesh,35,8296
countryName:Singapore,,Singapore,,,AKL,"Auckland Intl",Auckland,,"New Zealand",17,7960
countryName:Singapore,,Singapore,,,DOH,"Hamad International Airport",Doha,,Qatar,17,7488
countryName:Singapore,,Singapore,,,KNO,"Kuala Namu",Medan,,Indonesia,36,7428
countryName:Singapore,,Singapore,,,BLR,"Kempegowda International",Bengaluru,,India,30,7196
countryName:Singapore,,Singapore,,,AMS,Schiphol,Amsterdam,,Netherlands,12,6542
countryName:Singapore,,Singapore,,,PNH,International,"Phnom Penh",,Cambodia,33,6228
countryName:Singapore,,Singapore,,,ZRH,Zurich,Zurich,,Switzerland,9,6168
countryName:Singapore,,Singapore,,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,12,5913
countryName:Singapore,,Singapore,,,KCH,"Kuching International",Kuching,,Malaysia,31,5848
countryName:Singapore,,Singapore,,,KIX,"Kansai International",Osaka-Kansai,,Japan,14,5785
countryName:Singapore,,Singapore,,,CEB,"Mactan International",Cebu,,Philippines,32,5541
countryName:Singapore,,Singapore,,,SZX,"Bao'an International",Shenzhen,,China,27,5034
countryName:Singapore,,Singapore,,,MLE,"Ibrahim Nasir International",Male,,Maldives,20,4598
countryName:Singapore,,Singapore,,,USM,"Ko Samui","Ko Samui",,Thailand,25,4176
countryName:Singapore,,Singapore,,,TRZ,Tiruchchirappalli,Tiruchchirappalli,,India,17,4160
countryName:Singapore,,Singapore,,,IST,Ataturk,Istanbul,,Turkey,9,4120
countryName:Singapore,,Singapore,,,SFO,"San Francisco Intl","San Francisco",CA,"United States",9,3976
countryName:Singapore,,Singapore,,,XMN,"Gaoqi International",Xiamen,,China,24,3966
countryName:Singapore,,Singapore,,,FOC,"Changle International",Fuzhou,,China,16,3786
countryName:Singapore,,Singapore,,,MUC,"Franz Josef Strauss International",Munich,,Germany,11,3782
countryName:Singapore,,Singapore,,,SZB,"Sultan Abdul Aziz Shah","Kuala Lumpur",,Malaysia,49,3744
countryName:Singapore,,Singapore,,,BDO,"Husein Sastranegara",Bandung,,Indonesia,13,3360
countryName:Singapore,,Singapore,,,BWN,"Brunei International","Bandar Seri Begawan",,"Brunei Darussalam",21,3322
countryName:Singapore,,Singapore,,,LGK,"Langkawi International",Langkawi,,Malaysia,19,3234
countryName:Singapore,,Singapore,,,CRK,"Clark Intl Airport",Angeles/Mabalacat,,Philippines,16,3223
countryName:Singapore,,Singapore,,,HYD,"Rajiv Gandhi International",Hyderabad,,India,13,3184
