ORIGIN,DESTINATION,TOTAL SEATS
Canada,Turkey,3519
Canada,Brazil,2296
Canada,Qatar,1444
Canada,Italy,2800
Canada,Peru,988
Canada,Panama,2355
Canada,Costa Rica,2493
Canada,France,18620
Canada,Bahamas,3301
Canada,Ethiopia,1605
Canada,Bermuda,897
Canada,Aruba,627
Canada,Ireland,2663
Canada,Argentina,1148
Canada,Curacao,296
Canada,Israel,2947
Canada,Australia,5843
Canada,Algeria,1300
Canada,Cuba,23179
Canada,El Salvador,1110
Canada,Iceland,5410
Canada,Jordan,556
Canada,Grenada and South Grenadines,136
Canada,Sint Maarten,598
Canada,Trinidad and Tobago,2019
Canada,Germany,17803
Canada,Chile,1722
Canada,Martinique,272
Canada,Belgium,2570
Canada,China,35129
Canada,Dominican Republic,13048
Canada,Belize,619
Canada,Hong Kong,17736
Canada,Poland,1512
Canada,Spain,1684
Canada,Saint Lucia,707
Canada,Ukraine,783
Canada,Netherlands,12514
Canada,Pakistan,1428
Canada,Denmark,906
Canada,Philippines,6168
Canada,Cayman Islands,472
Canada,United States,338600
Canada,Morocco,3400
Canada,Guyana,225
Canada,Switzerland,4134
Canada,New Zealand,1560
Canada,Guadeloupe,272
Canada,Taiwan,9770
Canada,Jamaica,9308
Canada,Portugal,4765
Canada,Mexico,58200
Canada,Egypt,1092
Canada,United Arab Emirates,3997
Canada,Haiti,1114
Canada,India,4944
Canada,United Kingdom,36258
Canada,Austria,880
Canada,Antigua and Barbuda,774
Canada,Colombia,1235
Canada,Japan,10434
Canada,South Korea,6923
Canada,Turks and Caicos Islands,1267
Canada,Barbados,2755
Turkey,Canada,3519
Turkey,Turkmenistan,3736
Turkey,Lithuania,1264
Turkey,Ethiopia,1264
Turkey,Cameroon,1280
Turkey,Burkina Faso,640
Turkey,Bahrain,2416
Turkey,Saudi Arabia,30564
Turkey,Slovenia,1727
Turkey,Bosnia and Herzegovina,2379
Turkey,Russian Federation,23274
Turkey,Jordan,6220
Turkey,Spain,12487
Turkey,Netherlands,14890
Turkey,Oman,1280
Turkey,Tanzania,2560
Turkey,Pakistan,6752
Turkey,Albania,2320
Turkey,United Arab Emirates,18421
Turkey,India,6000
Turkey,Azerbaijan,14354
Turkey,Kenya,1992
Turkey,South Korea,6152
Turkey,Tajikistan,1062
Turkey,Afghanistan,5119
Turkey,Czech Republic,4160
Turkey,Eritrea,474
Turkey,France,18916
Turkey,Rwanda,1280
Turkey,Slovakia,660
Turkey,Norway,3069
Turkey,Benin,800
Turkey,Singapore,4400
Turkey,Montenegro,1082
Turkey,China,14736
Turkey,Armenia,825
Turkey,Ukraine,19838
Turkey,Ghana,1280
Turkey,Finland,3093
Turkey,Libya,3288
Turkey,Indonesia,3000
Turkey,Mauritius,1488
Turkey,Sweden,6955
Turkey,Vietnam,2384
Turkey,Mali,320
Turkey,Bulgaria,4110
Turkey,United States,24544
Turkey,Romania,8584
Turkey,Portugal,3574
Turkey,South Africa,4768
Turkey,Malaysia,2384
Turkey,Austria,11292
Turkey,Japan,2384
Turkey,Niger,640
Turkey,Brazil,3000
Turkey,Kuwait,8993
Turkey,Luxembourg,952
Turkey,Ireland,2303
Turkey,Nigeria,3464
Turkey,Bangladesh,2384
Turkey,Belarus,948
Turkey,Iran,35055
Turkey,Algeria,10700
Turkey,Belgium,8454
Turkey,Thailand,6576
Turkey,Iraq,22228
Turkey,Hong Kong,2250
Turkey,Georgia,7818
Turkey,Denmark,5938
Turkey,Philippines,3000
Turkey,Moldova,3416
Turkey,Morocco,5432
Turkey,Croatia,2542
Turkey,Switzerland,17163
Turkey,Seychelles,992
Turkey,Estonia,1264
Turkey,Lebanon,11961
Turkey,Uzbekistan,4474
Turkey,Tunisia,2928
Turkey,Djibouti,1352
Turkey,Colombia,992
Turkey,Taiwan,1875
Turkey,Cyprus,14504
Turkey,Qatar,10048
Turkey,Italy,24152
Turkey,Sudan,1464
Turkey,Nepal,1788
Turkey,Malta,2528
Turkey,Democratic Republic of the Congo,960
Turkey,Maldives,2384
Turkey,Israel,16398
Turkey,Germany,144061
Turkey,Kazakhstan,8670
Turkey,Poland,1658
Turkey,Mauritania,1280
Turkey,Kyrgyzstan,2072
Turkey,Macedonia,2486
Turkey,Latvia,1264
Turkey,Hungary,3968
Turkey,Egypt,10566
Turkey,Cuba,744
Turkey,Serbia,6164
Turkey,United Kingdom,49534
Turkey,Greece,10221
Peru,Brazil,9848
Peru,Canada,741
Peru,Netherlands,2976
Peru,Chile,23648
Peru,Mexico,12423
Peru,El Salvador,3186
Peru,Panama,9558
Peru,Uruguay,2367
Peru,France,1444
Peru,Cuba,2328
Peru,Costa Rica,2061
Peru,United States,26387
Peru,Haiti,1080
Peru,Ecuador,6895
Peru,Colombia,17492
Peru,Paraguay,2055
Peru,Argentina,15897
Peru,Bolivia,5552
